clast_ID,x,y,Ellipse_major_axis,Ellipse_minor_axis,Clast_length,Clast_width,Surface_area,Score,Orientation
1.00000,558250.96480,6981594.79207,0.05581,0.04764,0.05724,0.04843,0.00236,0.99564,1.19049
2.00000,558250.84176,6981595.26859,0.06977,0.05481,0.06845,0.05684,0.00333,0.99498,147.63178
3.00000,558250.75074,6981595.42776,0.08813,0.06712,0.08705,0.06529,0.00502,0.99252,29.87688
4.00000,558250.60699,6981594.98090,0.08658,0.07791,0.08544,0.07965,0.00570,0.97783,95.85031
5.00000,558250.86195,6981595.09058,0.06397,0.05878,0.06287,0.05917,0.00326,0.97462,126.92345
6.00000,558250.80841,6981594.96227,0.08537,0.05506,0.07788,0.05296,0.00399,0.95463,137.35174
7.00000,558250.62485,6981595.33339,0.09578,0.06558,0.09218,0.06357,0.00531,0.94549,123.29649
8.00000,558250.94983,6981594.86901,0.07663,0.07190,0.07896,0.06967,0.00467,0.94295,71.38496
9.00000,558250.56121,6981595.44141,0.07295,0.05707,0.07204,0.05650,0.00355,0.93982,104.03855
10.00000,558250.43165,6981595.45872,0.06057,0.04198,0.05823,0.04032,0.00225,0.90483,169.31207
11.00000,558250.22739,6981595.29169,0.05043,0.03678,0.04768,0.03594,0.00169,0.86700,51.43179
12.00000,558250.37846,6981595.32055,0.08084,0.02514,0.06829,0.02401,0.00180,0.78807,66.45930
13.00000,558250.29102,6981594.85469,0.06448,0.04950,0.06061,0.04788,0.00277,0.73150,147.80503
14.00000,558250.80647,6981595.32718,0.05828,0.04944,0.05976,0.04923,0.00250,0.66014,10.43529
15.00000,558251.09451,6981594.73017,0.07620,0.03786,0.05281,0.02946,0.00194,0.64556,153.71480
16.00000,558250.35472,6981595.07758,0.05609,0.04725,0.05611,0.04877,0.00233,0.61441,6.84283
17.00000,558250.20506,6981595.53087,0.04410,0.03690,0.04153,0.03735,0.00149,0.60352,44.63705
18.00000,558250.73983,6981595.31874,0.09141,0.08241,0.08697,0.08073,0.00626,0.53822,11.03807
19.00000,558250.70647,6981595.20155,0.07013,0.06441,0.07151,0.06558,0.00386,0.52834,98.41292
20.00000,558251.24824,6981594.99860,0.14133,0.11535,0.14073,0.11174,0.01345,0.99955,122.14521
21.00000,558251.81988,6981594.82921,0.09701,0.05319,0.08915,0.05195,0.00440,0.99779,78.07642
22.00000,558251.99101,6981595.50153,0.08487,0.06115,0.08364,0.06163,0.00448,0.99631,90.74880
23.00000,558251.90073,6981595.27191,0.06429,0.05390,0.06245,0.04988,0.00295,0.96981,76.64380
24.00000,558251.24240,6981594.86046,0.07875,0.04420,0.07228,0.03906,0.00298,0.94152,69.13066
25.00000,558251.88215,6981594.97598,0.07012,0.04857,0.06803,0.04845,0.00295,0.93960,105.67476
26.00000,558251.39030,6981595.05389,0.08685,0.04863,0.08384,0.04854,0.00366,0.90985,175.95033
27.00000,558251.79202,6981595.38062,0.07137,0.04785,0.05793,0.04825,0.00287,0.87527,166.05301
28.00000,558251.57071,6981594.79373,0.06269,0.04180,0.06317,0.03929,0.00234,0.86430,73.22945
29.00000,558251.51616,6981594.96403,0.08880,0.05792,0.08381,0.05734,0.00442,0.84557,93.71273
30.00000,558251.34186,6981594.73945,0.06904,0.03233,0.06346,0.03257,0.00200,0.84488,157.80487
31.00000,558251.60186,6981595.39108,0.06428,0.04391,0.06333,0.04449,0.00250,0.84179,171.68958
